,day,block,trial,C4,C3
0,Day1,0,0,1039.0650918292868,2777.703882281425
1,Day1,0,0,1614.3280302064236,5438.82861386043
2,Day1,0,0,1597.3188028895431,961.4101428326463
3,Day1,0,0,774.9864154064093,3453.252974792036
4,Day1,0,0,495.1108473820095,4571.093886563886
5,Day1,0,0,1729.6642556755871,2089.7312747836068
6,Day1,0,0,702.3135444542876,2539.145292753513
7,Day1,0,0,7970.1349912605,5503.17630596154
8,Day1,0,0,799.670152066155,576.5007546933167
9,Day1,0,0,4355.252272317755,6537.540933455356
0,Day1,0,1,,
1,Day1,0,1,3785.176068239519,4618.852225165871
2,Day1,0,1,4021.5763796210326,750.4760462450644
3,Day1,0,1,,
4,Day1,0,1,2114.334522538068,3550.944249895784
5,Day1,0,1,,
6,Day1,0,1,1860.0909157256574,2761.4521570284364
7,Day1,0,1,,
8,Day1,0,1,1316.2416416004849,2759.719448495667
9,Day1,0,1,1644.1129034378162,2886.7737449256315
0,Day1,0,2,,
1,Day1,0,2,,
2,Day1,0,2,2611.56121106754,4155.733294880935
3,Day1,0,2,899.1860117323804,1649.8190241521909
4,Day1,0,2,1161.0535878978094,3707.1019810099774
5,Day1,0,2,1498.8577882263144,4071.6457272949874
6,Day1,0,2,1728.6959718553394,1057.7065390120445
7,Day1,0,2,916.2960236698888,3999.023940740752
8,Day1,0,2,1953.447309000466,3732.3059275712258
9,Day1,0,2,1505.6100649043226,3015.9331648019543
0,Day1,0,3,,
1,Day1,0,3,46952.388119357136,1981.399469795042
2,Day1,0,3,18276.810347158014,3792.9692788092048
3,Day1,0,3,1703.3590310646314,3541.434601004363
4,Day1,0,3,1198.3483440981026,991.0994459598944
5,Day1,0,3,1858.0169077940645,2245.391425386977
6,Day1,0,3,660.0645761826378,1399.9452238458189
7,Day1,0,3,1015.9948295489733,1090.4366708417078
8,Day1,0,3,1976.3918049961014,1657.022210944675
9,Day1,0,3,,
0,Day1,0,4,4980.016237752336,4942.820899758447
1,Day1,0,4,16110.461574769855,6047.569646555028
2,Day1,0,4,4908.7194430670925,4940.440697288713
3,Day1,0,4,,
