,pid,condition,day,block,hand,RT
0,P16,continuous,Day1,0,right,13.163885936235602
1,P16,continuous,Day1,0,left,14.81750716776878
2,P16,continuous,Day1,0,right,13.015293538570404
3,P16,continuous,Day1,0,left,16.285834726666508
4,P16,continuous,Day1,0,right,12.431225233616715
5,P16,continuous,Day1,0,left,10.612351736832352
6,P16,continuous,Day1,0,right,15.184439477598062
7,P16,continuous,Day1,0,left,13.432468604507447
8,P16,continuous,Day1,0,left,14.133191988948965
9,P16,continuous,Day1,0,right,15.601608797827794
0,P16,continuous,Day1,1,right,14.383568045443099
1,P16,continuous,Day1,1,left,12.264289093305704
2,P16,continuous,Day1,1,right,12.965276014161644
3,P16,continuous,Day1,1,left,14.633877068692527
4,P16,continuous,Day1,1,right,14.166615146830734
5,P16,continuous,Day1,1,left,19.639803573445533
6,P16,continuous,Day1,1,right,13.482411051678355
7,P16,continuous,Day1,1,left,15.835297790392358
8,P16,continuous,Day1,1,left,17.45384339885641
9,P16,continuous,Day1,1,right,17.487277282052673
0,P16,continuous,Day1,2,right,12.965308190119686
1,P16,continuous,Day1,2,left,11.580348534553197
2,P16,continuous,Day1,2,right,12.247576365232813
3,P16,continuous,Day1,2,left,13.699432515721128
4,P16,continuous,Day1,2,right,15.868612162899806
5,P16,continuous,Day1,2,left,15.318001490049934
6,P16,continuous,Day1,2,right,14.183437809435418
7,P16,continuous,Day1,2,left,15.317904962183091
8,P16,continuous,Day1,2,left,23.077212336414963
9,P16,continuous,Day1,2,right,12.631473065091994
0,P16,continuous,Day1,3,right,15.501585623482242
1,P16,continuous,Day1,3,left,11.213295947934967
2,P16,continuous,Day1,3,right,12.965271417604528
3,P16,continuous,Day1,3,left,15.935332073109748
4,P16,continuous,Day1,3,right,15.201056060861447
5,P16,continuous,Day1,3,left,14.18338150150521
6,P16,continuous,Day1,3,right,9.160698601299373
7,P16,continuous,Day1,3,left,13.549245109919864
8,P16,continuous,Day1,3,left,15.534836027116398
9,P16,continuous,Day1,3,right,11.546883241499016
0,P16,continuous,Day1,4,right,12.447991971326699
1,P16,continuous,Day1,4,left,10.512332392951066
2,P16,continuous,Day1,4,right,9.511112770982436
3,P16,continuous,Day1,4,left,19.873468051002423
4,P16,continuous,Day1,4,right,17.170230345371234
5,P16,continuous,Day1,4,left,12.68164495746896
6,P16,continuous,Day1,4,right,17.971192176642944
7,P16,continuous,Day1,4,left,16.736273985930893
8,P16,continuous,Day1,4,left,17.003309143903607
9,P16,continuous,Day1,4,right,14.350009671936276
0,P16,continuous,Day2,0,left,15.080371739750262
1,P16,continuous,Day2,0,right,13.532656693132594
2,P16,continuous,Day2,0,right,13.816189415345434
3,P16,continuous,Day2,0,left,15.30128926038742
4,P16,continuous,Day2,0,left,12.631562940019649
5,P16,continuous,Day2,0,right,11.296582375827711
6,P16,continuous,Day2,0,right,13.015242599125486
7,P16,continuous,Day2,0,left,15.635013812687248
8,P16,continuous,Day2,0,right,13.549339166842401
9,P16,continuous,Day2,0,left,11.296557094727177
0,P16,continuous,Day2,1,left,11.797157329740003
1,P16,continuous,Day2,1,right,11.613644372788258
2,P16,continuous,Day2,1,right,12.514704417786561
3,P16,continuous,Day2,1,left,11.680416019982658
4,P16,continuous,Day2,1,left,12.014154744974803
5,P16,continuous,Day2,1,right,10.51243524585152
6,P16,continuous,Day2,1,right,8.359804707230069
7,P16,continuous,Day2,1,left,10.946124021545984
8,P16,continuous,Day2,1,right,13.082078981329687
9,P16,continuous,Day2,1,left,13.215578225150239
0,P16,continuous,Day2,2,left,10.862723910307977
1,P16,continuous,Day2,2,right,10.629121013858821
2,P16,continuous,Day2,2,right,14.60055641445797
3,P16,continuous,Day2,2,left,12.180911683128215
4,P16,continuous,Day2,2,left,14.733931550988927
5,P16,continuous,Day2,2,right,12.264310645172372
6,P16,continuous,Day2,2,right,13.599374713667203
7,P16,continuous,Day2,2,left,12.848523582681082
8,P16,continuous,Day2,2,right,9.74473310034955
9,P16,continuous,Day2,2,left,13.732692776189651
0,P16,continuous,Day2,3,left,11.196510899229906
1,P16,continuous,Day2,3,right,11.563478972995654
2,P16,continuous,Day2,3,right,9.961521371733397
3,P16,continuous,Day2,3,left,12.18103425821755
4,P16,continuous,Day2,3,left,15.434839449531864
5,P16,continuous,Day2,3,right,13.565950010786764
6,P16,continuous,Day2,3,right,12.548093497287482
7,P16,continuous,Day2,3,left,12.748417631839402
8,P16,continuous,Day2,3,right,11.380113872291986
9,P16,continuous,Day2,3,left,13.465834483737126
0,P16,continuous,Day2,4,left,10.028481478104368
1,P16,continuous,Day2,4,right,11.997445840970613
2,P16,continuous,Day2,4,right,12.94843762688106
3,P16,continuous,Day2,4,left,15.084493328118697
4,P16,continuous,Day2,4,left,12.981887227797415
5,P16,continuous,Day2,4,right,12.414655157830566
6,P16,continuous,Day2,4,right,11.146605971560348
7,P16,continuous,Day2,4,left,15.56833639513934
8,P16,continuous,Day2,4,right,13.315612163161859
9,P16,continuous,Day2,4,left,12.481347897322848
