,pid,condition,timing,view,hand,face,angle,response,RT
0,P03,continuous,pre,0,right,back,60,True,0.8129253016522853
1,P03,continuous,pre,0,left,palm,300,True,6.752084828010992
2,P03,continuous,pre,0,left,back,300,True,1.1667659396334784
3,P03,continuous,pre,0,left,palm,240,True,1.9147433567268308
4,P03,continuous,pre,0,right,back,180,True,1.8325736876722656
5,P03,continuous,pre,0,right,palm,60,True,1.6818003353255335
6,P03,continuous,pre,0,right,palm,120,True,1.609269273103564
7,P03,continuous,pre,0,right,back,120,True,0.995442892133724
8,P03,continuous,pre,0,left,back,180,True,1.8310759746527765
9,P03,continuous,pre,0,left,back,120,True,1.3281975694262655
10,P03,continuous,pre,0,right,back,300,True,0.8223329312604619
11,P03,continuous,pre,0,right,palm,180,True,1.3046275501692437
12,P03,continuous,pre,0,left,palm,60,True,1.7030031252797926
13,P03,continuous,pre,0,left,back,60,True,0.781353051555925
14,P03,continuous,pre,0,left,palm,0,True,1.2097629438212607
15,P03,continuous,pre,0,left,palm,180,True,1.4763447528530378
16,P03,continuous,pre,0,right,palm,0,True,1.452090612030588
17,P03,continuous,pre,0,left,back,240,True,1.0202612609136852
18,P03,continuous,pre,0,right,back,240,True,0.9985467204096494
19,P03,continuous,pre,0,right,back,0,True,0.6180433432746213
20,P03,continuous,pre,0,right,palm,300,True,1.5254337334772572
21,P03,continuous,pre,0,right,palm,240,True,0.7156674188445322
22,P03,continuous,pre,0,left,back,0,True,0.6348721217364073
23,P03,continuous,pre,0,left,palm,120,True,0.9811146432184614
24,P03,continuous,pre,1,right,back,120,True,0.8577862116071628
25,P03,continuous,pre,1,right,palm,0,True,1.1948689347918844
26,P03,continuous,pre,1,left,back,300,True,1.2782972956483718
27,P03,continuous,pre,1,left,back,120,True,0.8468601844651857
28,P03,continuous,pre,1,left,back,240,True,1.3286357749602755
29,P03,continuous,pre,1,right,back,60,True,1.0057621731393738
30,P03,continuous,pre,1,right,back,0,True,0.6485679603501922
31,P03,continuous,pre,1,left,back,180,True,1.4673623052076437
32,P03,continuous,pre,1,left,palm,240,True,1.4911602372885682
33,P03,continuous,pre,1,right,palm,120,True,2.7305089504661737
34,P03,continuous,pre,1,left,palm,300,True,1.8462373503571143
35,P03,continuous,pre,1,left,back,0,True,0.8787354245869209
36,P03,continuous,pre,1,left,palm,60,True,1.199097771561355
37,P03,continuous,pre,1,right,back,240,True,0.7865827896312112
38,P03,continuous,pre,1,right,back,180,True,1.4789916062873092
39,P03,continuous,pre,1,right,back,300,True,0.7186471399618313
40,P03,continuous,pre,1,left,palm,120,True,0.8933743244415382
41,P03,continuous,pre,1,left,palm,0,True,0.9972064396424684
42,P03,continuous,pre,1,right,palm,300,True,1.6402386075205868
43,P03,continuous,pre,1,right,palm,180,True,1.2092626847006611
44,P03,continuous,pre,1,right,palm,60,True,1.8118914583174048
45,P03,continuous,pre,1,right,palm,240,True,0.9183807692170376
46,P03,continuous,pre,1,left,back,60,True,1.0455308588134358
47,P03,continuous,pre,1,left,palm,180,True,1.1036677881056676
48,P03,continuous,pre,2,left,palm,180,True,0.9265844827023102
49,P03,continuous,pre,2,right,palm,120,True,1.573069434511126
50,P03,continuous,pre,2,right,back,0,True,1.457179005810758
51,P03,continuous,pre,2,left,palm,300,True,2.6976029313809704
52,P03,continuous,pre,2,left,back,180,True,1.7188762019504793
53,P03,continuous,pre,2,right,palm,300,True,1.3562886901199818
54,P03,continuous,pre,2,right,palm,60,True,1.232768352056155
55,P03,continuous,pre,2,left,palm,60,True,1.1789315062487729
56,P03,continuous,pre,2,right,back,120,True,1.2070226269570412
57,P03,continuous,pre,2,left,back,120,True,0.9781770572590176
58,P03,continuous,pre,2,right,palm,0,True,1.2385048610449303
59,P03,continuous,pre,2,right,back,240,True,0.919690023205476
60,P03,continuous,pre,2,right,palm,240,True,0.9979575944162208
61,P03,continuous,pre,2,left,back,60,True,0.6733713903231546
62,P03,continuous,pre,2,right,back,60,True,0.6580587111238856
63,P03,continuous,pre,2,right,back,180,True,1.9081997681059877
64,P03,continuous,pre,2,right,back,300,True,0.7859116916224593
65,P03,continuous,pre,2,left,back,240,True,0.8937431985250441
