,pid,condition,day,block,hand,RT
0,P17,control,Day1,0,left,18.476862797077047
1,P17,control,Day1,0,right,21.12488834172836
2,P17,control,Day1,0,left,20.590977551895772
3,P17,control,Day1,0,right,20.407473405022763
4,P17,control,Day1,0,right,18.30492208052601
5,P17,control,Day1,0,left,19.956922123441476
6,P17,control,Day1,0,left,21.642152664237074
7,P17,control,Day1,0,right,20.173747933469716
8,P17,control,Day1,0,left,19.13909441501892
9,P17,control,Day1,0,right,19.706509581548744
0,P17,control,Day1,1,left,17.303729271385233
1,P17,control,Day1,1,right,18.955627806775734
2,P17,control,Day1,1,left,16.652873007580634
3,P17,control,Day1,1,right,17.470683478866707
4,P17,control,Day1,1,right,17.270407991280077
5,P17,control,Day1,1,left,19.40624344031676
6,P17,control,Day1,1,left,17.620829190040237
7,P17,control,Day1,1,right,17.353733025258407
8,P17,control,Day1,1,left,17.937775889775367
9,P17,control,Day1,1,right,16.402597979657006
0,P17,control,Day1,2,left,16.769800861395193
1,P17,control,Day1,2,right,17.487253336716098
2,P17,control,Day1,2,left,17.17026833226555
3,P17,control,Day1,2,right,18.82216303716996
4,P17,control,Day1,2,right,20.157047073444122
5,P17,control,Day1,2,left,18.104654636932533
6,P17,control,Day1,2,left,17.486843093123753
7,P17,control,Day1,2,right,17.670673213200647
8,P17,control,Day1,2,left,18.40506595306215
9,P17,control,Day1,2,right,16.352449050886207
0,P17,control,Day1,3,left,15.684786206009447
1,P17,control,Day1,3,right,16.83649206861446
2,P17,control,Day1,3,left,18.40497670306649
3,P17,control,Day1,3,right,16.869861612678505
4,P17,control,Day1,3,right,18.888847349546264
5,P17,control,Day1,3,left,18.087966800521823
6,P17,control,Day1,3,left,17.5206960428186
7,P17,control,Day1,3,right,15.868640841115846
8,P17,control,Day1,3,left,17.93778278461832
9,P17,control,Day1,3,right,17.036738061564392
0,P17,control,Day1,4,left,16.452643102617007
1,P17,control,Day1,4,right,17.62081386813952
2,P17,control,Day1,4,left,17.370454569827412
3,P17,control,Day1,4,right,17.53729616140481
4,P17,control,Day1,4,right,18.121335578500293
5,P17,control,Day1,4,left,17.086825702775972
6,P17,control,Day1,4,left,15.985533837636465
7,P17,control,Day1,4,right,18.138080105898553
8,P17,control,Day1,4,left,18.338239147124114
9,P17,control,Day1,4,right,16.252400174053033
0,P17,control,Day2,0,right,15.92883860412985
1,P17,control,Day2,0,left,16.78639898293477
2,P17,control,Day2,0,right,16.9364968706941
3,P17,control,Day2,0,left,17.520688198270364
4,P17,control,Day2,0,left,15.567915260722657
5,P17,control,Day2,0,right,17.136742174247047
6,P17,control,Day2,0,right,15.751817847172788
7,P17,control,Day2,0,left,15.134455381295993
8,P17,control,Day2,0,right,14.817458763991453
9,P17,control,Day2,0,left,14.567101285010722
0,P17,control,Day2,1,right,15.50164384789241
1,P17,control,Day2,1,left,16.91995688418683
2,P17,control,Day2,1,right,17.053406383027323
3,P17,control,Day2,1,left,16.63623176359033
4,P17,control,Day2,1,left,16.6028805930182
5,P17,control,Day2,1,right,15.95209647584852
6,P17,control,Day2,1,right,15.234615380195464
7,P17,control,Day2,1,left,13.43234904198107
8,P17,control,Day2,1,right,15.735130387416575
9,P17,control,Day2,1,left,15.751831253834098
0,P17,control,Day2,2,right,14.600581542556029
1,P17,control,Day2,2,left,15.5349544154451
2,P17,control,Day2,2,right,16.352619258934283
3,P17,control,Day2,2,left,16.202434419410565
4,P17,control,Day2,2,left,14.984302334712993
5,P17,control,Day2,2,right,11.596957148103684
6,P17,control,Day2,2,right,15.45150983876374
7,P17,control,Day2,2,left,18.13800125103444
8,P17,control,Day2,2,right,15.501710115091555
9,P17,control,Day2,2,left,15.718566268922586
0,P17,control,Day2,3,right,15.701802965784736
1,P17,control,Day2,3,left,16.01880686098957
2,P17,control,Day2,3,right,18.20486217380312
3,P17,control,Day2,3,left,17.837677537678246
4,P17,control,Day2,3,left,16.135645509551978
5,P17,control,Day2,3,right,14.950983723167155
6,P17,control,Day2,3,right,15.368114292148675
7,P17,control,Day2,3,left,14.86752535677806
8,P17,control,Day2,3,right,15.11776217582883
9,P17,control,Day2,3,left,14.350257388698083
0,P17,control,Day2,4,right,13.365696880042378
1,P17,control,Day2,4,left,14.917560922731354
2,P17,control,Day2,4,right,15.451506774385052
3,P17,control,Day2,4,left,14.467078800127638
4,P17,control,Day2,4,left,14.533715640169248
5,P17,control,Day2,4,right,14.684005817725847
6,P17,control,Day2,4,right,13.415821696031344
7,P17,control,Day2,4,left,13.348892207781319
8,P17,control,Day2,4,right,14.266825452577905
9,P17,control,Day2,4,left,13.14878135386607
