,pid,condition,day,block,hand,RT
0,P02,continuous,Day1,0,left,10.90830357
1,P02,continuous,Day1,0,right,11.33037787
2,P02,continuous,Day1,0,left,11.09633819
3,P02,continuous,Day1,0,right,12.03080348
4,P02,continuous,Day1,0,left,12.86506602
5,P02,continuous,Day1,0,right,11.69701457
6,P02,continuous,Day1,0,right,11.09634776
7,P02,continuous,Day1,0,left,12.54811623
8,P02,continuous,Day1,0,left,11.93070109
9,P02,continuous,Day1,0,right,11.78052682
0,P02,continuous,Day1,1,left,10.24537212
1,P02,continuous,Day1,1,right,10.51234732
2,P02,continuous,Day1,1,left,11.81393425
3,P02,continuous,Day1,1,right,11.36316821
4,P02,continuous,Day1,1,left,11.93061299
5,P02,continuous,Day1,1,right,13.01530502
6,P02,continuous,Day1,1,right,11.0463502
7,P02,continuous,Day1,1,left,12.43126934
8,P02,continuous,Day1,1,left,12.58148076
9,P02,continuous,Day1,1,right,10.82940129
0,P02,continuous,Day1,2,left,11.26324815
1,P02,continuous,Day1,2,right,12.214343800000002
2,P02,continuous,Day1,2,left,12.39820129
3,P02,continuous,Day1,2,right,11.56313167
4,P02,continuous,Day1,2,left,13.03208553
5,P02,continuous,Day1,2,right,11.81393195
6,P02,continuous,Day1,2,right,10.84609639
7,P02,continuous,Day1,2,left,12.64833813
8,P02,continuous,Day1,2,left,12.43122337
9,P02,continuous,Day1,2,right,12.19764296
0,P02,continuous,Day1,3,left,11.09634049
1,P02,continuous,Day1,3,right,12.34786894
2,P02,continuous,Day1,3,left,11.83054967
3,P02,continuous,Day1,3,right,9.894997677000001
4,P02,continuous,Day1,3,left,12.29776335
5,P02,continuous,Day1,3,right,13.21555308
6,P02,continuous,Day1,3,right,13.44908638
7,P02,continuous,Day1,3,left,12.33117231
8,P02,continuous,Day1,3,left,12.33122517
9,P02,continuous,Day1,3,right,13.09914592
0,P02,continuous,Day1,4,left,12.13084802
1,P02,continuous,Day1,4,right,13.89962067
2,P02,continuous,Day1,4,left,12.33106353
3,P02,continuous,Day1,4,right,12.53142612
4,P02,continuous,Day1,4,left,11.74718528
5,P02,continuous,Day1,4,right,11.51351293
6,P02,continuous,Day1,4,right,11.91396884
7,P02,continuous,Day1,4,left,13.89968042
8,P02,continuous,Day1,4,left,10.71257278
9,P02,continuous,Day1,4,right,11.27993061
0,P02,continuous,Day2,0,right,10.83737633
1,P02,continuous,Day2,0,left,10.69736085
2,P02,continuous,Day2,0,right,10.49567138
3,P02,continuous,Day2,0,left,10.86266278
4,P02,continuous,Day2,0,right,10.5290405
5,P02,continuous,Day2,0,left,10.14526629
6,P02,continuous,Day2,0,left,11.38002112
7,P02,continuous,Day2,0,right,12.34768622
8,P02,continuous,Day2,0,left,9.728038682000001
9,P02,continuous,Day2,0,right,11.63031195
0,P02,continuous,Day2,1,right,10.01171281
1,P02,continuous,Day2,1,left,9.761476753
2,P02,continuous,Day2,1,right,10.72932074
3,P02,continuous,Day2,1,left,10.41216028
4,P02,continuous,Day2,1,right,12.04750815
5,P02,continuous,Day2,1,left,11.63035025
6,P02,continuous,Day2,1,left,11.2465431
7,P02,continuous,Day2,1,right,11.6803371
8,P02,continuous,Day2,1,left,12.74823329
9,P02,continuous,Day2,1,right,10.02831061
0,P02,continuous,Day2,2,right,10.67917608
1,P02,continuous,Day2,2,left,10.9794978
2,P02,continuous,Day2,2,right,10.91275458
3,P02,continuous,Day2,2,left,10.17866337
4,P02,continuous,Day2,2,right,10.14516708
5,P02,continuous,Day2,2,left,11.19651374
6,P02,continuous,Day2,2,left,11.21310618
7,P02,continuous,Day2,2,right,11.68026853
8,P02,continuous,Day2,2,left,11.39666527
9,P02,continuous,Day2,2,right,11.44677775
0,P02,continuous,Day2,3,right,11.01307569
1,P02,continuous,Day2,3,left,12.53142037
2,P02,continuous,Day2,3,right,10.87948352
3,P02,continuous,Day2,3,left,10.22872951
4,P02,continuous,Day2,3,right,10.04510453
5,P02,continuous,Day2,3,left,10.22835987
6,P02,continuous,Day2,3,left,10.22868316
7,P02,continuous,Day2,3,right,10.36204282
8,P02,continuous,Day2,3,left,11.49684542
9,P02,continuous,Day2,3,right,11.33001359
0,P02,continuous,Day2,4,right,10.979595100000001
1,P02,continuous,Day2,4,left,9.411082387
2,P02,continuous,Day2,4,right,11.21319696
3,P02,continuous,Day2,4,left,10.61251866
4,P02,continuous,Day2,4,right,10.52896887
5,P02,continuous,Day2,4,left,11.07963467
6,P02,continuous,Day2,4,left,11.27991145
7,P02,continuous,Day2,4,right,10.67915655
8,P02,continuous,Day2,4,left,10.41224225
9,P02,continuous,Day2,4,right,11.2632336
0,P02,continuous,Day3,0,right,7.866715594587731
1,P02,continuous,Day3,0,left,7.561195077229058
2,P02,continuous,Day3,0,right,7.542091737552255
3,P02,continuous,Day3,0,left,9.127588873700006
4,P02,continuous,Day3,0,left,8.493243618526321
5,P02,continuous,Day3,0,right,8.993994199896406
6,P02,continuous,Day3,0,right,9.861490445073287
7,P02,continuous,Day3,0,left,9.861477421465679
8,P02,continuous,Day3,0,right,8.960549182716932
9,P02,continuous,Day3,0,left,9.027301703070407
0,P02,continuous,Day3,1,right,7.675632018625038
1,P02,continuous,Day3,1,left,7.9426041783590335
2,P02,continuous,Day3,1,right,8.426460071335896
3,P02,continuous,Day3,1,left,8.109513250186865
4,P02,continuous,Day3,1,left,8.009409942307684
5,P02,continuous,Day3,1,right,9.260867533397686
6,P02,continuous,Day3,1,right,9.57784231700498
7,P02,continuous,Day3,1,left,9.377637999525177
8,P02,continuous,Day3,1,right,10.846015713366796
9,P02,continuous,Day3,1,left,8.8937533779972
0,P02,continuous,Day3,2,right,9.127302737295395
1,P02,continuous,Day3,2,left,8.89382998747169
2,P02,continuous,Day3,2,right,11.24654998787446
3,P02,continuous,Day3,2,left,8.726881078728184
4,P02,continuous,Day3,2,left,10.82941443927848
5,P02,continuous,Day3,2,right,9.611188124916225
6,P02,continuous,Day3,2,right,10.06174187738361
7,P02,continuous,Day3,2,left,9.661332476331154
8,P02,continuous,Day3,2,right,10.662749751689262
9,P02,continuous,Day3,2,left,9.894901754087186
0,P02,continuous,Day3,3,right,9.26088055701257
1,P02,continuous,Day3,3,left,6.8580594895538525
2,P02,continuous,Day3,3,right,10.729280870647926
3,P02,continuous,Day3,3,left,11.163093919778476
4,P02,continuous,Day3,3,left,10.362149095068162
5,P02,continuous,Day3,3,right,9.277597894470091
6,P02,continuous,Day3,3,right,10.078482197684934
7,P02,continuous,Day3,3,left,9.928320724051446
8,P02,continuous,Day3,3,right,9.210796727093111
9,P02,continuous,Day3,3,left,10.028491065233538
0,P02,continuous,Day3,4,right,9.711741130442533
1,P02,continuous,Day3,4,left,9.97839995740651
2,P02,continuous,Day3,4,right,9.694707012793515
3,P02,continuous,Day3,4,left,9.894900604944269
4,P02,continuous,Day3,4,left,10.212005241621227
5,P02,continuous,Day3,4,right,10.228729090878915
6,P02,continuous,Day3,4,right,10.328853083323338
7,P02,continuous,Day3,4,left,9.928313063101086
8,P02,continuous,Day3,4,right,9.277590999612585
9,P02,continuous,Day3,4,left,10.67927824677463
