,pid,condition,day,timing,block,hand,RT
0,P07,control,Day1,pre,0,left,20.381790414407078
1,P07,control,Day1,pre,0,right,18.36174021229226
2,P07,control,Day1,pre,1,left,20.016313580503265
3,P07,control,Day1,pre,1,right,17.976868569362523
4,P07,control,Day1,pre,2,left,18.05593938973745
5,P07,control,Day1,pre,2,right,16.343518292591398
6,P07,control,Day1,pre,3,right,19.28532199106213
7,P07,control,Day1,pre,3,left,18.576177476311386
8,P07,control,Day1,pre,4,left,21.41627458633775
9,P07,control,Day1,pre,4,right,15.744427339275715
0,P07,control,Day1,post,0,left,20.82211459458085
1,P07,control,Day1,post,0,right,18.804047808837822
2,P07,control,Day1,post,1,left,22.84110414008501
3,P07,control,Day1,post,1,right,18.508197393212868
4,P07,control,Day1,post,2,left,20.96900500144148
5,P07,control,Day1,post,2,right,21.85671636188272
6,P07,control,Day1,post,3,left,16.368705152401162
7,P07,control,Day1,post,3,right,20.064956694643115
8,P07,control,Day1,post,4,right,19.28663507551937
9,P07,control,Day1,post,4,left,21.187940384126705
0,P07,control,Day2,pre,0,right,20.24507831978553
1,P07,control,Day2,pre,0,left,19.59200357919326
2,P07,control,Day2,pre,1,right,22.316804327516365
3,P07,control,Day2,pre,1,left,21.29499590713931
4,P07,control,Day2,pre,2,right,19.624967105806718
5,P07,control,Day2,pre,2,left,22.417730804250823
6,P07,control,Day2,pre,3,right,20.008762975252463
7,P07,control,Day2,pre,3,left,19.69665289355908
8,P07,control,Day2,pre,4,right,14.535818570368063
9,P07,control,Day2,pre,4,left,22.334139520417015
0,P07,control,Day2,post,0,left,16.672045162818904
1,P07,control,Day2,post,0,right,17.06393635590939
2,P07,control,Day2,post,1,right,17.961139458746402
3,P07,control,Day2,post,1,left,18.288571053186384
4,P07,control,Day2,post,2,left,16.65485208050268
5,P07,control,Day2,post,2,right,15.919978717887714
6,P07,control,Day2,post,3,left,16.679530291961786
7,P07,control,Day2,post,3,right,18.135657767072196
8,P07,control,Day2,post,4,right,16.988701634041718
9,P07,control,Day2,post,4,left,15.464022848011155
0,P07,control,Day3,pre,0,left,19.38349756477692
1,P07,control,Day3,pre,0,right,18.36978486159569
2,P07,control,Day3,pre,1,left,20.053685200400647
3,P07,control,Day3,pre,1,right,18.82044475598741
4,P07,control,Day3,pre,2,left,20.032754357638627
5,P07,control,Day3,pre,2,right,17.523774009870976
6,P07,control,Day3,pre,3,right,20.22240404191325
7,P07,control,Day3,pre,3,left,22.127918196460087
8,P07,control,Day3,pre,4,right,18.747372775695116
9,P07,control,Day3,pre,4,left,18.655847501286193
0,P07,control,Day3,post,0,left,20.833951762877405
1,P07,control,Day3,post,0,right,19.23944810573812
2,P07,control,Day3,post,1,left,20.349706681685348
3,P07,control,Day3,post,1,right,23.18722882659131
4,P07,control,Day3,post,2,left,21.5358599120118
5,P07,control,Day3,post,2,right,21.799949054737226
6,P07,control,Day3,post,3,right,21.02201180168049
7,P07,control,Day3,post,3,left,23.715948357592424
8,P07,control,Day3,post,4,right,20.29823970704456
9,P07,control,Day3,post,4,left,23.541727810559678
