,pid,condition,day,timing,block,hand,RT
0,tani,continuous,Day1,pre,0,left,74.60513796
1,tani,continuous,Day1,pre,0,right,13.85311528
2,tani,continuous,Day1,pre,1,left,14.16188292
3,tani,continuous,Day1,pre,1,right,13.98879741
4,tani,continuous,Day1,pre,2,left,12.23634802
5,tani,continuous,Day1,pre,2,right,14.8091729
6,tani,continuous,Day1,pre,3,left,14.296153899999998
7,tani,continuous,Day1,pre,3,right,13.50610462
8,tani,continuous,Day1,pre,4,right,11.64400382
9,tani,continuous,Day1,pre,4,left,11.1567363
0,tani,continuous,Day1,post,0,right,10.90021435
1,tani,continuous,Day1,post,0,left,9.88057477
2,tani,continuous,Day1,post,1,right,9.886732249
3,tani,continuous,Day1,post,1,left,9.741038425
4,tani,continuous,Day1,post,2,left,8.706258145
5,tani,continuous,Day1,post,2,right,8.993111284
6,tani,continuous,Day1,post,3,right,9.596494507000001
7,tani,continuous,Day1,post,3,left,9.15030073
8,tani,continuous,Day1,post,4,left,10.0113313
9,tani,continuous,Day1,post,4,right,11.2043793
0,tani,continuous,Day2,pre,0,right,16.09628325
1,tani,continuous,Day2,pre,0,left,13.2377125
2,tani,continuous,Day2,pre,1,left,12.96098046
3,tani,continuous,Day2,pre,1,right,11.26595499
4,tani,continuous,Day2,pre,2,left,11.21175029
5,tani,continuous,Day2,pre,2,right,12.52000103
6,tani,continuous,Day2,pre,3,left,12.35127158
7,tani,continuous,Day2,pre,3,right,12.61947277
8,tani,continuous,Day2,pre,4,left,12.86479029
9,tani,continuous,Day2,pre,4,right,11.29597176
0,tani,continuous,Day2,post,0,left,11.74473357
1,tani,continuous,Day2,post,0,right,13.26594312
2,tani,continuous,Day2,post,1,left,13.87687545
3,tani,continuous,Day2,post,1,right,13.26297718
4,tani,continuous,Day2,post,2,right,13.65928827
5,tani,continuous,Day2,post,2,left,12.99828586
6,tani,continuous,Day2,post,3,left,12.54881694
7,tani,continuous,Day2,post,3,right,12.44512555
8,tani,continuous,Day2,post,4,right,12.24244544
9,tani,continuous,Day2,post,4,left,12.21602702
0,tani,continuous,Day3,pre,0,right,11.733550240056502
1,tani,continuous,Day3,pre,0,left,13.122221473153331
2,tani,continuous,Day3,pre,1,left,13.120296279157627
3,tani,continuous,Day3,pre,1,right,13.380447981075122
4,tani,continuous,Day3,pre,2,left,13.059340485076973
5,tani,continuous,Day3,pre,2,right,12.958324874380196
6,tani,continuous,Day3,pre,3,right,12.36333727361125
7,tani,continuous,Day3,pre,3,left,10.987855879349807
8,tani,continuous,Day3,pre,4,left,11.631377827558026
9,tani,continuous,Day3,pre,4,right,9.713269052946998
0,tani,continuous,Day3,post,0,right,10.647900940992258
1,tani,continuous,Day3,post,0,left,10.345256691252871
2,tani,continuous,Day3,post,1,right,10.01450675426895
3,tani,continuous,Day3,post,1,left,10.139941225275834
4,tani,continuous,Day3,post,2,right,10.278491990105977
5,tani,continuous,Day3,post,2,left,9.126457206377381
6,tani,continuous,Day3,post,3,right,9.838384828886774
7,tani,continuous,Day3,post,3,left,9.607785582571523
8,tani,continuous,Day3,post,4,left,9.341910010014544
9,tani,continuous,Day3,post,4,right,9.280313761420985
