,day,block,trial,C4,C3
0,Day1,0,0,1257.4892103078819,1022.8236894270012
1,Day1,0,0,2656.6144584826675,1959.531383628566
2,Day1,0,0,483.38057210605547,710.4872058112161
3,Day1,0,0,1713.3869240013855,1434.0843311527158
4,Day1,0,0,938.5900580315628,1742.0232043140047
5,Day1,0,0,1557.4980616665075,1426.5958550104776
6,Day1,0,0,1207.5818044108767,777.4671114817952
7,Day1,0,0,1028.3395489038328,1823.032408087953
8,Day1,0,0,2025.0065534000164,1619.9661470036099
9,Day1,0,0,766.9030770052142,1019.9345748652817
0,Day1,0,1,944.9146838550787,807.7618708960667
1,Day1,0,1,2187.596047875971,2491.851407608005
2,Day1,0,1,1155.8437810926334,1040.3383539214817
3,Day1,0,1,822.785642133038,2137.2299258691714
4,Day1,0,1,731.5721823606085,1558.266878156369
5,Day1,0,1,707.9635756916658,1522.3343063702814
6,Day1,0,1,,
7,Day1,0,1,1215.6346811025453,3082.4941076079285
8,Day1,0,1,2169.818000992131,3727.58436611181
9,Day1,0,1,1207.6131668237847,718.7785488584308
0,Day1,0,2,2165.5583516648726,1841.3371817923792
1,Day1,0,2,1805.859763692849,2340.766228696097
2,Day1,0,2,2312.9625507006554,3266.631496895812
3,Day1,0,2,1264.5705726744998,2857.0449445708864
4,Day1,0,2,1476.3223117159164,3464.9271354789075
5,Day1,0,2,713.455340920152,1361.5301213966495
6,Day1,0,2,1642.5971104757816,2415.0551032651674
7,Day1,0,2,1279.4083115974593,1526.5001197911056
8,Day1,0,2,2207.353873911315,3785.005236031544
9,Day1,0,2,,
0,Day1,0,3,3120.1658833350025,2041.0384566885525
1,Day1,0,3,6050.706617735314,3902.6385953990252
2,Day1,0,3,3596.2268274382427,2935.840318029656
3,Day1,0,3,3448.4513101361604,3648.4167977305738
4,Day1,0,3,2665.446801268811,1976.8549914509686
5,Day1,0,3,3127.2496885887235,1711.3432009138917
6,Day1,0,3,379.97562944459366,1674.921300975262
7,Day1,0,3,2757.9035048887463,3706.7914672177476
8,Day1,0,3,1314.5999609358541,1824.172400047865
9,Day1,0,3,1089.8913240152772,1207.4422785043437
0,Day1,0,4,992.3274254613943,1434.462944432417
1,Day1,0,4,1492.9234085895541,2749.5193015014793
2,Day1,0,4,2313.5631853503987,2196.9573499357425
3,Day1,0,4,2564.1751252803,3254.35571801886
4,Day1,0,4,2273.839520645193,2338.071122024495
5,Day1,0,4,4294.546857250493,3242.831132135461
6,Day1,0,4,4107.381427328249,1223.5275148281219
7,Day1,0,4,3274.361050434803,4119.678574321402
8,Day1,0,4,4053.925125373789,2954.161123462658
9,Day1,0,4,3320.889385575935,1544.1969021407251
0,Day1,0,5,,
1,Day1,0,5,1387.6685927974606,562.1336117843831
2,Day1,0,5,4976.0257403801725,3127.1551210214257
3,Day1,0,5,1828.596710864556,2271.456340148848
4,Day1,0,5,,
5,Day1,0,5,,
6,Day1,0,5,1742.4104803620248,2688.680720141961
7,Day1,0,5,,
8,Day1,0,5,2685.497444722469,547.526245427266
9,Day1,0,5,2584.5955611189497,3629.0846072495287
0,Day1,0,6,2082.546700374238,2850.747397409921
1,Day1,0,6,3334.876476434226,4927.641952635331
2,Day1,0,6,1123.8527567724116,724.7651953214862
3,Day1,0,6,1832.657839131586,4891.883488819072
4,Day1,0,6,2670.121415846753,3334.964320119991
5,Day1,0,6,5208.485651804272,3609.068497331764
6,Day1,0,6,3398.33878375373,3721.6885409116358
7,Day1,0,6,2531.94983791489,1659.5190051207244
8,Day1,0,6,3730.993752869189,1882.1876176424496
9,Day1,0,6,2602.2943193632395,3397.4841758543957
0,Day1,0,7,,
1,Day1,0,7,,
2,Day1,0,7,1865.4959347199647,1678.3207213303174
3,Day1,0,7,1952.7818434907635,2046.0508149591813
4,Day1,0,7,2055.154361411649,2746.3591419329946
5,Day1,0,7,1915.975748920359,1473.8011271396622
6,Day1,0,7,3943.5960629897145,3514.540021710785
7,Day1,0,7,2467.411899178253,2139.4085734233904
