,pid,condition,day,block,hand,RT
0,P03,continuous,Day1,0,right,18.22834071
1,P03,continuous,Day1,0,left,21.44195979
2,P03,continuous,Day1,0,left,19.79004515
3,P03,continuous,Day1,0,right,18.13801866
4,P03,continuous,Day1,0,right,21.45863497
5,P03,continuous,Day1,0,left,24.64568285
6,P03,continuous,Day1,0,right,21.99299369
7,P03,continuous,Day1,0,left,19.84009979
8,P03,continuous,Day1,0,right,20.75784279
9,P03,continuous,Day1,0,left,21.35847819
0,P03,continuous,Day1,1,right,18.27150281
1,P03,continuous,Day1,1,left,21.30847832
2,P03,continuous,Day1,1,left,21.02483407
3,P03,continuous,Day1,1,right,20.30727096
4,P03,continuous,Day1,1,right,19.05580532
5,P03,continuous,Day1,1,left,21.72551134
6,P03,continuous,Day1,1,right,19.10579063
7,P03,continuous,Day1,1,left,23.11086409
8,P03,continuous,Day1,1,right,18.338256
9,P03,continuous,Day1,1,left,23.17727176
0,P03,continuous,Day1,2,right,21.20826255
1,P03,continuous,Day1,2,left,20.37398201
2,P03,continuous,Day1,2,left,20.35734513
3,P03,continuous,Day1,2,right,20.04065697
4,P03,continuous,Day1,2,right,20.95797708
5,P03,continuous,Day1,2,left,23.811328
6,P03,continuous,Day1,2,right,25.09628533
7,P03,continuous,Day1,2,left,23.22745281
8,P03,continuous,Day1,2,right,21.30839635
9,P03,continuous,Day1,2,left,20.60759996
0,P03,continuous,Day1,3,right,17.73746355
1,P03,continuous,Day1,3,left,20.15707945
2,P03,continuous,Day1,3,left,21.74227308
3,P03,continuous,Day1,3,right,25.88032469
4,P03,continuous,Day1,3,right,22.59318361
5,P03,continuous,Day1,3,left,24.56226139
6,P03,continuous,Day1,3,right,20.60755322
7,P03,continuous,Day1,3,left,20.09034504
8,P03,continuous,Day1,3,right,21.62541355
9,P03,continuous,Day1,3,left,21.67559191
0,P03,continuous,Day1,4,right,21.09153325
1,P03,continuous,Day1,4,left,18.28811325
2,P03,continuous,Day1,4,left,22.47649146
3,P03,continuous,Day1,4,right,25.61355672
4,P03,continuous,Day1,4,right,21.94248782
5,P03,continuous,Day1,4,left,19.52293474
6,P03,continuous,Day1,4,right,21.7922492
7,P03,continuous,Day1,4,left,20.90799254
8,P03,continuous,Day1,4,right,23.57776214
9,P03,continuous,Day1,4,left,22.37625692
0,P03,continuous,Day2,0,left,19.411862585682684
1,P03,continuous,Day2,0,right,18.7888115772148
2,P03,continuous,Day2,0,left,20.240558559282363
3,P03,continuous,Day2,0,right,17.92109114797313
4,P03,continuous,Day2,0,left,16.836330102330976
5,P03,continuous,Day2,0,right,19.005665266629876
6,P03,continuous,Day2,0,left,22.943741106124435
7,P03,continuous,Day2,0,right,19.139271329499024
8,P03,continuous,Day2,0,left,19.0391248139822
9,P03,continuous,Day2,0,right,18.438352207980643
0,P03,continuous,Day2,1,left,17.17027324664923
1,P03,continuous,Day2,1,right,18.47169224463687
2,P03,continuous,Day2,1,left,18.67199983145838
3,P03,continuous,Day2,1,right,18.655279825485195
4,P03,continuous,Day2,1,left,20.59095051222903
5,P03,continuous,Day2,1,right,23.07675842559911
6,P03,continuous,Day2,1,left,21.658888895271957
7,P03,continuous,Day2,1,right,21.542018926356832
8,P03,continuous,Day2,1,left,19.13917901514833
9,P03,continuous,Day2,1,right,26.748215096269632
0,P03,continuous,Day2,2,left,18.722038806501587
1,P03,continuous,Day2,2,right,20.924713624410288
2,P03,continuous,Day2,2,left,24.145091730204513
3,P03,continuous,Day2,2,right,23.42762497390504
4,P03,continuous,Day2,2,left,25.129716602601547
5,P03,continuous,Day2,2,right,20.7911730625965
6,P03,continuous,Day2,2,left,20.891282422542645
7,P03,continuous,Day2,2,right,18.071268211495408
8,P03,continuous,Day2,2,left,21.124945367906548
9,P03,continuous,Day2,2,right,21.642154716555524
0,P03,continuous,Day2,3,left,19.873302191603216
1,P03,continuous,Day2,3,right,19.940169574951142
2,P03,continuous,Day2,3,left,20.35726573318243
3,P03,continuous,Day2,3,right,21.92582599319394
4,P03,continuous,Day2,3,left,20.307208371876186
5,P03,continuous,Day2,3,right,19.606433276067037
6,P03,continuous,Day2,3,left,15.95207544495679
7,P03,continuous,Day2,3,right,20.59093710558045
8,P03,continuous,Day2,3,left,21.759018173668665
9,P03,continuous,Day2,3,right,26.164264003722565
0,P03,continuous,Day2,4,left,19.990279413706958
1,P03,continuous,Day2,4,right,18.872194419385778
2,P03,continuous,Day2,4,left,14.183280760118578
3,P03,continuous,Day2,4,right,15.000969492213699
4,P03,continuous,Day2,4,left,16.46899904046768
5,P03,continuous,Day2,4,right,17.286915302538546
6,P03,continuous,Day2,4,left,14.250142014712765
7,P03,continuous,Day2,4,right,18.788756035384722
8,P03,continuous,Day2,4,left,22.977066586992805
9,P03,continuous,Day2,4,right,17.320432690004964
