,pid,condition,day,block,hand,RT
0,P03,continuous,Day1,0,right,18.22834071
1,P03,continuous,Day1,0,left,21.44195979
2,P03,continuous,Day1,0,left,19.79004515
3,P03,continuous,Day1,0,right,18.13801866
4,P03,continuous,Day1,0,right,21.45863497
5,P03,continuous,Day1,0,left,24.64568285
6,P03,continuous,Day1,0,right,21.99299369
7,P03,continuous,Day1,0,left,19.84009979
8,P03,continuous,Day1,0,right,20.75784279
9,P03,continuous,Day1,0,left,21.35847819
0,P03,continuous,Day1,1,right,18.27150281
1,P03,continuous,Day1,1,left,21.30847832
2,P03,continuous,Day1,1,left,21.02483407
3,P03,continuous,Day1,1,right,20.30727096
4,P03,continuous,Day1,1,right,19.05580532
5,P03,continuous,Day1,1,left,21.72551134
6,P03,continuous,Day1,1,right,19.10579063
7,P03,continuous,Day1,1,left,23.11086409
8,P03,continuous,Day1,1,right,18.338256
9,P03,continuous,Day1,1,left,23.17727176
0,P03,continuous,Day1,2,right,21.20826255
1,P03,continuous,Day1,2,left,20.37398201
2,P03,continuous,Day1,2,left,20.35734513
3,P03,continuous,Day1,2,right,20.04065697
4,P03,continuous,Day1,2,right,20.95797708
5,P03,continuous,Day1,2,left,23.811328
6,P03,continuous,Day1,2,right,25.09628533
7,P03,continuous,Day1,2,left,23.22745281
8,P03,continuous,Day1,2,right,21.30839635
9,P03,continuous,Day1,2,left,20.60759996
0,P03,continuous,Day1,3,right,17.73746355
1,P03,continuous,Day1,3,left,20.15707945
2,P03,continuous,Day1,3,left,21.74227308
3,P03,continuous,Day1,3,right,25.88032469
4,P03,continuous,Day1,3,right,22.59318361
5,P03,continuous,Day1,3,left,24.56226139
6,P03,continuous,Day1,3,right,20.60755322
7,P03,continuous,Day1,3,left,20.09034504
8,P03,continuous,Day1,3,right,21.62541355
9,P03,continuous,Day1,3,left,21.67559191
0,P03,continuous,Day1,4,right,21.09153325
1,P03,continuous,Day1,4,left,18.28811325
2,P03,continuous,Day1,4,left,22.47649146
3,P03,continuous,Day1,4,right,25.61355672
4,P03,continuous,Day1,4,right,21.94248782
5,P03,continuous,Day1,4,left,19.52293474
6,P03,continuous,Day1,4,right,21.7922492
7,P03,continuous,Day1,4,left,20.90799254
8,P03,continuous,Day1,4,right,23.57776214
9,P03,continuous,Day1,4,left,22.37625692
