,pid,condition,timing,view,hand,face,angle,response,RT
0,Yu,continuous,pre,0,right,back,300,True,0.5130902666853672
1,Yu,continuous,pre,0,left,palm,180,False,1.0325942814065456
2,Yu,continuous,pre,0,right,back,60,True,0.5468172196724481
3,Yu,continuous,pre,0,left,back,240,True,0.6003791404566527
4,Yu,continuous,pre,0,left,palm,60,True,0.8435155030831538
5,Yu,continuous,pre,0,right,back,0,True,0.5413779445821092
6,Yu,continuous,pre,0,left,back,0,True,0.5395259097188045
7,Yu,continuous,pre,0,right,back,180,True,0.8415765164279492
8,Yu,continuous,pre,0,left,back,180,True,0.7952166555198801
9,Yu,continuous,pre,0,right,palm,0,True,0.726973671610267
10,Yu,continuous,pre,0,right,palm,180,False,0.7975639708545259
11,Yu,continuous,pre,0,left,palm,300,False,0.5054990305065985
12,Yu,continuous,pre,0,right,back,240,True,0.6568606496025495
13,Yu,continuous,pre,0,right,palm,120,False,0.586216340655028
14,Yu,continuous,pre,0,right,back,120,True,0.6063083333524446
15,Yu,continuous,pre,0,right,palm,60,False,0.46562071704966
16,Yu,continuous,pre,0,right,palm,240,True,0.4744315766006366
17,Yu,continuous,pre,0,left,back,120,True,0.5792793496771083
18,Yu,continuous,pre,0,left,back,60,True,0.544067321371358
19,Yu,continuous,pre,0,right,palm,300,False,0.7581414839721674
20,Yu,continuous,pre,0,left,back,300,True,0.4026837076855827
21,Yu,continuous,pre,0,left,palm,240,False,0.5576605294791079
22,Yu,continuous,pre,0,left,palm,120,False,0.5783244121560074
23,Yu,continuous,pre,0,left,palm,0,False,0.5030027096784124
24,Yu,continuous,pre,1,right,back,180,False,0.7905515195113821
25,Yu,continuous,pre,1,right,back,120,True,0.4824050942258964
26,Yu,continuous,pre,1,right,back,300,True,0.4111528888295197
27,Yu,continuous,pre,1,right,back,0,True,0.4075480284159312
28,Yu,continuous,pre,1,right,palm,0,True,0.5701099576274373
29,Yu,continuous,pre,1,left,back,120,True,0.582954307790942
30,Yu,continuous,pre,1,left,back,0,True,0.5478173568033071
31,Yu,continuous,pre,1,right,back,60,True,0.5947674939727676
32,Yu,continuous,pre,1,left,back,180,True,0.6866077386330289
33,Yu,continuous,pre,1,right,palm,120,False,0.5832714711552853
34,Yu,continuous,pre,1,right,palm,180,False,0.611255775399286
35,Yu,continuous,pre,1,left,palm,0,True,0.6466175752937033
36,Yu,continuous,pre,1,right,palm,240,False,0.6726831944019978
37,Yu,continuous,pre,1,left,palm,60,False,0.9052106723174802
38,Yu,continuous,pre,1,right,palm,60,False,0.5441485274502611
39,Yu,continuous,pre,1,left,palm,180,False,0.7271253584367514
40,Yu,continuous,pre,1,left,back,240,True,0.5575866013034556
41,Yu,continuous,pre,1,left,palm,300,False,0.5389589993571917
42,Yu,continuous,pre,1,left,back,300,True,0.5136506652386288
43,Yu,continuous,pre,1,right,back,240,True,0.4971321230564172
44,Yu,continuous,pre,1,left,palm,120,False,0.5534198101463517
45,Yu,continuous,pre,1,left,palm,240,False,0.5342111250795369
46,Yu,continuous,pre,1,right,palm,300,False,0.4850377799789385
47,Yu,continuous,pre,1,left,back,60,True,0.669081015321126
48,Yu,continuous,pre,2,left,palm,60,False,0.6138264074506878
49,Yu,continuous,pre,2,left,back,0,True,0.6811489281180911
50,Yu,continuous,pre,2,right,palm,120,False,0.7536479532618614
51,Yu,continuous,pre,2,right,back,0,True,0.5028724735141168
52,Yu,continuous,pre,2,right,back,240,True,0.5184345459852011
53,Yu,continuous,pre,2,left,back,60,True,0.6377205300459536
54,Yu,continuous,pre,2,left,back,120,True,0.49588300502341554
55,Yu,continuous,pre,2,right,back,180,True,1.1443974317428456
56,Yu,continuous,pre,2,left,palm,0,False,0.6779003019180436
57,Yu,continuous,pre,2,left,back,240,True,0.48638189380221775
58,Yu,continuous,pre,2,right,palm,180,False,0.8785896342737942
59,Yu,continuous,pre,2,right,back,120,True,0.6709035555238643
60,Yu,continuous,pre,2,right,back,60,True,0.439583443459469
61,Yu,continuous,pre,2,left,back,180,True,0.7458111836092485
62,Yu,continuous,pre,2,left,palm,180,False,0.607450581121384
63,Yu,continuous,pre,2,right,palm,0,False,0.57891622060788
64,Yu,continuous,pre,2,left,palm,120,False,0.5997383019193876
65,Yu,continuous,pre,2,right,back,300,True,0.6676173906648728
66,Yu,continuous,pre,2,left,back,300,True,0.460231621187404
67,Yu,continuous,pre,2,right,palm,240,False,0.5418184492550608
68,Yu,continuous,pre,2,right,palm,300,True,0.7720920754359213
69,Yu,continuous,pre,2,left,palm,240,True,0.9766413778679635
70,Yu,continuous,pre,2,left,palm,300,True,0.9576349419032795
71,Yu,continuous,pre,2,right,palm,60,True,0.8417822129574688
