,day,block,trial,C4,C3
0,Day1,0,0,500.0,500.0
1,Day1,0,0,,
2,Day1,0,0,,
3,Day1,0,0,,
4,Day1,0,0,,
5,Day1,0,0,,
6,Day1,0,0,,
7,Day1,0,0,,
8,Day1,0,0,,
9,Day1,0,0,,
0,Day1,0,1,500.0,500.0
1,Day1,0,1,500.0,500.0
2,Day1,0,1,500.0,500.0
3,Day1,0,1,500.0,500.0
4,Day1,0,1,500.0,500.0
5,Day1,0,1,500.0,500.0
6,Day1,0,1,500.0,500.0
7,Day1,0,1,500.0,500.0
8,Day1,0,1,500.0,500.0
9,Day1,0,1,500.0,500.0
0,Day1,0,2,500.0,500.0
1,Day1,0,2,500.0,500.0
2,Day1,0,2,500.0,500.0
3,Day1,0,2,500.0,500.0
4,Day1,0,2,500.0,500.0
5,Day1,0,2,500.0,500.0
6,Day1,0,2,500.0,500.0
7,Day1,0,2,500.0,500.0
8,Day1,0,2,500.0,500.0
9,Day1,0,2,500.0,500.0
0,Day1,0,3,500.0,500.0
1,Day1,0,3,500.0,500.0
2,Day1,0,3,500.0,500.0
3,Day1,0,3,500.0,500.0
4,Day1,0,3,500.0,500.0
5,Day1,0,3,500.0,500.0
6,Day1,0,3,500.0,500.0
7,Day1,0,3,500.0,500.0
8,Day1,0,3,500.0,500.0
9,Day1,0,3,500.0,500.0
0,Day1,0,4,500.0,500.0
1,Day1,0,4,500.0,500.0
2,Day1,0,4,500.0,500.0
3,Day1,0,4,500.0,500.0
4,Day1,0,4,500.0,500.0
5,Day1,0,4,500.0,500.0
6,Day1,0,4,500.0,500.0
7,Day1,0,4,500.0,500.0
8,Day1,0,4,500.0,500.0
9,Day1,0,4,500.0,500.0
0,Day1,0,5,500.0,500.0
1,Day1,0,5,500.0,500.0
2,Day1,0,5,500.0,500.0
3,Day1,0,5,500.0,500.0
4,Day1,0,5,500.0,500.0
5,Day1,0,5,500.0,500.0
6,Day1,0,5,500.0,500.0
7,Day1,0,5,500.0,500.0
