,pid,condition,day,timing,block,hand,RT
0,P03,continuous,Day1,pre,0,left,17.89176246347779
1,P03,continuous,Day1,pre,0,right,16.963032535611998
2,P03,continuous,Day1,pre,1,left,17.36141845297243
3,P03,continuous,Day1,pre,1,right,15.026204232141025
4,P03,continuous,Day1,pre,2,right,17.35421257642156
5,P03,continuous,Day1,pre,2,left,14.234493594893134
6,P03,continuous,Day1,pre,3,left,16.043620221345922
7,P03,continuous,Day1,pre,3,right,14.859612195738013
8,P03,continuous,Day1,pre,4,left,15.945991932268953
9,P03,continuous,Day1,pre,4,right,18.460967721795896
0,P03,continuous,Day1,post,0,right,19.115312028021428
1,P03,continuous,Day1,post,0,left,20.158307883059024
2,P03,continuous,Day1,post,1,right,19.2226712381962
3,P03,continuous,Day1,post,1,left,18.308826509295614
4,P03,continuous,Day1,post,2,right,17.858697863019188
5,P03,continuous,Day1,post,2,left,19.049229558804647
6,P03,continuous,Day1,post,3,right,17.14415621875378
7,P03,continuous,Day1,post,3,left,17.776772577839438
8,P03,continuous,Day1,post,4,right,17.823865884594852
9,P03,continuous,Day1,post,4,left,17.752420377015373
0,P03,continuous,Day2,pre,0,left,16.09314862802239
1,P03,continuous,Day2,pre,0,right,16.45168148101402
2,P03,continuous,Day2,pre,1,right,16.797194563028825
3,P03,continuous,Day2,pre,1,left,15.544041798098988
4,P03,continuous,Day2,pre,2,left,17.46684440052195
5,P03,continuous,Day2,pre,2,right,15.533046431053664
6,P03,continuous,Day2,pre,3,right,18.808261559883253
7,P03,continuous,Day2,pre,3,left,19.155162421546265
8,P03,continuous,Day2,pre,4,left,19.213353405000817
9,P03,continuous,Day2,pre,4,right,16.100180989755245
0,P03,continuous,Day2,post,0,right,16.49144368537418
1,P03,continuous,Day2,post,0,left,20.273971757938853
2,P03,continuous,Day2,post,1,right,15.101559193226421
3,P03,continuous,Day2,post,1,left,21.226868455878503
4,P03,continuous,Day2,post,2,left,19.208246237998537
5,P03,continuous,Day2,post,2,right,15.74007304708175
6,P03,continuous,Day2,post,3,right,16.795588446533657
7,P03,continuous,Day2,post,3,left,23.019224367924835
8,P03,continuous,Day2,post,4,left,22.43055030461801
9,P03,continuous,Day2,post,4,right,16.28130749297452
